RowId,Time,LatitudeDegrees,LongitudeDegrees,DistanceMeters,AltitudeMeters,HeartRate,Cadence,Watts,Speed
51,2020/2/12 9:47,51.457118,-0.219318,,34.2,91,61,354,
52,2020/2/12 9:47,51.45713,-0.219428,,34.4,91,74,230,
53,2020/2/12 9:47,51.457143,-0.219535,,34.2,91,71,200,
54,2020/2/12 9:47,51.457157,-0.21964,,34.4,91,74,181,
55,2020/2/12 9:47,51.457168,-0.219751,,34,112,77,135,
56,2020/2/12 9:47,51.45718,-0.219865,,33.4,124,79,107,
57,2020/2/12 9:47,51.457193,-0.21998,,32.6,134,81,65,
58,2020/2/12 9:47,51.457207,-0.220097,,32.2,142,81,84,
59,2020/2/12 9:47,51.457222,-0.220211,,32,142,81,87,
60,2020/2/12 9:47,51.457238,-0.220327,,31.8,142,81,0,
61,2020/2/12 9:47,51.457256,-0.220442,,31.6,142,81,0,
62,2020/2/12 9:47,51.457269,-0.220557,,31.2,142,0,0,
63,2020/2/12 9:47,51.457284,-0.220676,,31,150,20,0,
64,2020/2/12 9:47,51.457299,-0.220795,,30.8,150,82,105,
65,2020/2/12 9:47,51.457312,-0.220914,,30.6,150,82,0,
66,2020/2/12 9:47,51.457324,-0.221031,,30.4,160,82,0,
67,2020/2/12 9:47,51.457353,-0.221267,,29.6,176,52,0,
68,2020/2/12 9:47,51.457353,-0.221267,,29.6,176,52,0,
69,2020/2/12 9:47,51.457371,-0.221387,,29.2,191,86,121,
70,2020/2/12 9:47,51.45739,-0.221513,,29.2,212,90,116,
71,2020/2/12 9:47,51.457409,-0.221638,,28.8,212,92,128,
72,2020/2/12 9:47,51.457426,-0.221765,,28.6,212,92,103,
73,2020/2/12 9:47,51.457441,-0.22189,,29.8,212,92,0,
74,2020/2/12 9:47,51.457455,-0.222015,,28.8,208,92,0,
75,2020/2/12 9:47,51.45747,-0.222142,,28.4,208,0,0,
76,2020/2/12 9:47,51.457487,-0.22227,,27.8,208,0,0,
77,2020/2/12 9:47,51.457502,-0.222392,,27.6,208,0,0,
78,2020/2/12 9:47,51.457514,-0.222494,,27.4,207,0,0,
79,2020/2/12 9:47,51.457528,-0.222578,,27.2,198,0,0,
80,2020/2/12 9:47,51.45754,-0.222656,,27.2,198,0,0,
81,2020/2/12 9:47,51.457546,-0.22273,,27,198,0,0,
82,2020/2/12 9:47,51.45755,-0.2228,,27,193,0,0,
83,2020/2/12 9:47,51.457563,-0.222863,,26.8,193,0,0,
84,2020/2/12 9:47,51.457589,-0.222901,,26.4,193,0,0,
85,2020/2/12 9:47,51.457621,-0.222911,,26.2,193,0,0,
86,2020/2/12 9:47,51.457661,-0.222899,,26,193,0,0,
87,2020/2/12 9:48,51.457707,-0.222882,,25.8,193,31,76,
88,2020/2/12 9:48,51.457762,-0.222871,,25.4,193,31,165,
89,2020/2/12 9:48,51.457822,-0.222867,,25.2,193,59,165,
90,2020/2/12 9:48,51.457884,-0.222864,,25.2,193,66,165,
91,2020/2/12 9:48,51.457949,-0.22286,,25,193,66,125,
92,2020/2/12 9:48,51.458018,-0.222855,,25,193,73,125,
93,2020/2/12 9:48,51.458089,-0.222847,,24.8,193,77,143,
94,2020/2/12 9:48,51.458162,-0.22284,,24.6,193,87,29,
95,2020/2/12 9:48,51.458238,-0.222835,,24.2,199,83,94,
96,2020/2/12 9:48,51.458316,-0.222829,,23.8,199,85,77,
97,2020/2/12 9:48,51.458397,-0.222825,,23.6,195,87,56,
98,2020/2/12 9:48,51.458477,-0.222819,,23.2,195,89,77,
99,2020/2/12 9:48,51.458559,-0.222811,,23.2,195,88,144,
100,2020/2/12 9:48,51.45864,-0.222807,,23.2,197,88,75,
101,2020/2/12 9:48,51.458724,-0.222804,,22.8,197,65,75,
102,2020/2/12 9:48,51.45881,-0.2228,,22.2,187,76,19,
103,2020/2/12 9:48,51.458896,-0.222792,,22,187,64,136,
104,2020/2/12 9:48,51.458984,-0.222783,,21.8,187,65,148,
105,2020/2/12 9:48,51.459073,-0.222774,,21.4,187,68,154,
106,2020/2/12 9:48,51.459162,-0.222764,,21.2,193,68,175,
107,2020/2/12 9:48,51.45925,-0.22275,,21,193,67,190,
108,2020/2/12 9:48,51.459338,-0.222737,,21.4,193,69,120,
109,2020/2/12 9:48,51.459425,-0.222723,,21,193,68,101,
110,2020/2/12 9:48,51.459513,-0.222708,,20.8,193,68,0,
111,2020/2/12 9:48,51.459597,-0.222699,,20.2,199,68,0,
112,2020/2/12 9:48,51.459669,-0.222697,,20.4,199,0,0,
113,2020/2/12 9:48,51.459731,-0.222695,,20,194,0,0,
114,2020/2/12 9:48,51.459776,-0.222699,,19.2,188,0,0,
115,2020/2/12 9:48,51.459816,-0.222704,,18.8,188,0,0,
116,2020/2/12 9:48,51.459855,-0.222691,,18.6,188,0,0,
117,2020/2/12 9:48,51.459894,-0.22267,,19,188,0,0,
118,2020/2/12 9:48,51.459939,-0.222659,,19.2,188,33,84,
119,2020/2/12 9:48,51.459988,-0.222654,,19,188,39,175,
120,2020/2/12 9:48,51.460043,-0.222654,,19,188,45,142,
121,2020/2/12 9:48,51.4601,-0.222649,,18.6,177,45,183,
122,2020/2/12 9:48,51.460162,-0.222641,,18.8,177,45,183,
123,2020/2/12 9:48,51.460228,-0.222633,,19,177,50,183,
124,2020/2/12 9:48,51.460296,-0.222634,,18.6,177,50,152,
125,2020/2/12 9:48,51.460363,-0.222646,,18.4,177,56,152,
126,2020/2/12 9:48,51.460436,-0.22265,,18.4,177,59,149,
127,2020/2/12 9:48,51.460511,-0.222647,,18.2,177,61,136,
128,2020/2/12 9:48,51.460587,-0.22264,,18,177,63,136,
129,2020/2/12 9:48,51.460664,-0.222636,,18,177,65,104,
130,2020/2/12 9:48,51.460742,-0.22263,,18,177,64,108,
131,2020/2/12 9:48,51.460821,-0.222623,,17.8,183,65,92,
132,2020/2/12 9:48,51.4609,-0.222614,,17.6,192,66,89,
133,2020/2/12 9:48,51.460979,-0.222608,,17.6,192,66,95,
134,2020/2/12 9:48,51.461059,-0.222609,,17.6,192,67,95,
135,2020/2/12 9:48,51.461142,-0.222613,,17.4,192,68,95,
136,2020/2/12 9:48,51.461224,-0.222623,,16.8,192,67,85,
137,2020/2/12 9:48,51.461309,-0.222627,,16.8,192,68,91,
138,2020/2/12 9:48,51.461393,-0.222625,,16.6,192,69,118,
139,2020/2/12 9:48,51.461474,-0.222614,,16.6,195,67,142,
140,2020/2/12 9:48,51.461555,-0.222603,,16.4,195,68,92,
141,2020/2/12 9:48,51.461636,-0.222595,,16.4,195,68,128,
142,2020/2/12 9:48,51.461717,-0.222589,,16.2,195,69,89,
143,2020/2/12 9:48,51.461797,-0.222584,,16,201,69,87,
144,2020/2/12 9:48,51.461877,-0.22258,,15.8,198,69,72,
145,2020/2/12 9:48,51.461953,-0.222573,,16,198,69,0,
146,2020/2/12 9:48,51.462027,-0.222571,,15.8,198,69,0,
147,2020/2/12 9:49,51.4621,-0.222566,,15.4,198,0,0,
148,2020/2/12 9:49,51.46217,-0.222564,,15.2,198,0,0,
149,2020/2/12 9:49,51.462237,-0.222567,,15,196,0,0,
150,2020/2/12 9:49,51.462299,-0.222571,,15,196,0,0,
151,2020/2/12 9:49,51.462358,-0.222573,,15,196,0,0,
152,2020/2/12 9:49,51.462404,-0.222557,,15,196,0,0,
153,2020/2/12 9:49,51.462439,-0.222536,,14.8,193,39,0,
154,2020/2/12 9:49,51.462464,-0.22252,,14.8,193,39,0,
155,2020/2/12 9:49,51.462477,-0.222511,,14.8,183,0,0,
156,2020/2/12 9:49,51.462488,-0.222507,,14.6,183,0,0,
157,2020/2/12 9:49,51.462503,-0.222531,,14.8,183,0,0,
158,2020/2/12 9:49,51.462516,-0.22258,,14.6,183,19,36,
159,2020/2/12 9:49,51.462537,-0.222652,,14.6,173,44,300,
160,2020/2/12 9:49,51.46256,-0.222733,,14.6,157,44,78,
161,2020/2/12 9:49,51.462573,-0.222805,,14.6,150,44,78,
162,2020/2/12 9:49,51.462583,-0.222883,,14.8,140,56,80,
163,2020/2/12 9:49,51.462592,-0.222966,,15,136,61,238,
164,2020/2/12 9:49,51.462603,-0.223059,,14.8,142,65,216,
165,2020/2/12 9:49,51.462616,-0.223155,,14.8,142,65,233,
166,2020/2/12 9:49,51.462627,-0.223254,,14.8,142,70,233,
167,2020/2/12 9:49,51.462639,-0.223355,,14.8,153,74,202,
168,2020/2/12 9:49,51.462652,-0.223457,,15,153,76,62,
169,2020/2/12 9:49,51.462664,-0.223565,,15,153,71,166,
170,2020/2/12 9:49,51.462675,-0.223675,,15.2,148,74,184,
171,2020/2/12 9:49,51.462686,-0.223784,,15.4,140,75,187,
172,2020/2/12 9:49,51.462696,-0.223895,,15.2,140,77,168,
173,2020/2/12 9:49,51.462705,-0.224002,,15.4,143,77,165,
174,2020/2/12 9:49,51.462714,-0.224111,,15.4,154,78,165,
175,2020/2/12 9:49,51.462724,-0.224221,,15.6,154,78,144,
176,2020/2/12 9:49,51.462735,-0.224333,,15.6,164,80,107,
177,2020/2/12 9:49,51.462743,-0.224444,,15.4,164,76,181,
178,2020/2/12 9:49,51.46275,-0.224555,,15.2,164,80,143,
179,2020/2/12 9:49,51.46276,-0.224666,,15.2,172,79,159,
180,2020/2/12 9:49,51.462766,-0.22478,,15,172,79,152,
181,2020/2/12 9:49,51.462774,-0.224895,,15,172,80,151,
182,2020/2/12 9:49,51.462778,-0.225011,,15,172,80,179,
183,2020/2/12 9:49,51.462785,-0.225129,,14.8,174,80,179,
184,2020/2/12 9:49,51.462793,-0.225245,,14.8,174,82,179,
185,2020/2/12 9:49,51.462801,-0.225358,,15.2,174,84,138,
186,2020/2/12 9:49,51.462811,-0.225472,,15.2,174,83,112,
187,2020/2/12 9:49,51.462819,-0.225577,,15.2,174,83,0,
188,2020/2/12 9:49,51.462825,-0.225662,,15,174,83,0,
189,2020/2/12 9:49,51.46283,-0.225744,,14.8,174,0,0,
190,2020/2/12 9:49,51.462838,-0.225825,,14.6,174,0,0,
191,2020/2/12 9:49,51.462847,-0.225907,,14.8,174,0,0,
192,2020/2/12 9:49,51.462861,-0.225993,,14.8,174,0,0,
193,2020/2/12 9:49,51.462875,-0.226084,,14.8,174,0,0,
194,2020/2/12 9:49,51.462895,-0.226283,,14.8,174,0,0,
195,2020/2/12 9:49,51.46297,-0.227038,,14.6,174,0,0,
196,2020/2/12 9:50,51.463076,-0.227811,,14.6,184,0,0,
197,2020/2/12 9:50,51.463092,-0.227924,,14.2,184,81,132,
198,2020/2/12 9:50,51.463106,-0.228034,,14.2,184,82,160,
199,2020/2/12 9:50,51.463123,-0.228142,,14,184,82,144,
200,2020/2/12 9:50,51.46314,-0.228252,,14.2,184,82,117,
201,2020/2/12 9:50,51.463156,-0.228361,,14.4,184,80,163,
202,2020/2/12 9:50,51.46317,-0.228472,,14.6,184,80,157,
203,2020/2/12 9:50,51.463186,-0.228583,,14.2,187,81,157,
204,2020/2/12 9:50,51.463204,-0.228691,,14,187,81,147,
205,2020/2/12 9:50,51.463223,-0.228801,,13.6,187,81,161,
206,2020/2/12 9:50,51.463243,-0.228912,,13.8,187,81,151,
207,2020/2/12 9:50,51.463262,-0.229027,,14,187,82,263,
208,2020/2/12 9:50,51.463282,-0.229144,,14.2,194,83,560,
209,2020/2/12 9:50,51.463302,-0.229265,,14.4,194,88,428,
210,2020/2/12 9:50,51.463315,-0.229387,,14.4,194,91,309,
211,2020/2/12 9:50,51.463324,-0.229513,,14.4,198,91,236,
212,2020/2/12 9:50,51.463335,-0.229639,,14.4,198,92,202,
213,2020/2/12 9:50,51.46335,-0.229765,,14.2,200,90,212,
214,2020/2/12 9:50,51.463366,-0.229889,,14,195,91,228,
215,2020/2/12 9:50,51.463382,-0.230014,,14,195,91,171,
216,2020/2/12 9:50,51.4634,-0.230139,,14,204,90,176,
217,2020/2/12 9:50,51.463416,-0.230261,,14,204,90,218,
218,2020/2/12 9:50,51.463431,-0.230384,,13.8,204,89,242,
219,2020/2/12 9:50,51.463445,-0.230508,,14,207,91,204,
220,2020/2/12 9:50,51.46346,-0.23063,,13.6,207,90,202,
221,2020/2/12 9:50,51.463478,-0.230749,,13.4,207,89,219,
222,2020/2/12 9:50,51.463499,-0.230868,,13,200,90,172,
223,2020/2/12 9:50,51.463517,-0.230987,,13.2,205,90,195,
224,2020/2/12 9:50,51.463534,-0.231108,,13.4,201,88,209,
225,2020/2/12 9:50,51.463553,-0.231228,,13.6,201,91,167,
226,2020/2/12 9:50,51.463573,-0.23135,,13.4,201,89,219,
227,2020/2/12 9:50,51.463594,-0.231469,,13.2,213,89,223,
228,2020/2/12 9:50,51.463615,-0.231589,,13.2,213,88,189,
229,2020/2/12 9:50,51.463636,-0.231711,,13.2,211,88,167,
230,2020/2/12 9:50,51.463661,-0.23183,,13.2,211,89,167,
231,2020/2/12 9:50,51.463686,-0.231944,,13.6,211,89,176,
232,2020/2/12 9:50,51.463708,-0.232059,,13.6,208,86,163,
233,2020/2/12 9:50,51.463722,-0.232176,,13.6,214,92,82,
234,2020/2/12 9:50,51.463736,-0.232295,,13.4,214,87,140,
235,2020/2/12 9:50,51.463749,-0.232413,,13.6,214,88,191,
236,2020/2/12 9:50,51.463767,-0.232531,,13.6,214,86,169,
237,2020/2/12 9:50,51.463786,-0.232651,,13.6,214,88,170,
238,2020/2/12 9:50,51.463813,-0.232765,,13.6,214,87,224,
239,2020/2/12 9:50,51.463841,-0.23288,,13.6,205,87,188,
240,2020/2/12 9:50,51.463869,-0.232993,,13.4,205,88,153,
241,2020/2/12 9:50,51.463897,-0.233107,,13.4,205,88,157,
242,2020/2/12 9:50,51.463925,-0.233219,,13,205,87,173,
243,2020/2/12 9:50,51.463956,-0.23333,,12.8,205,87,122,
244,2020/2/12 9:50,51.463984,-0.233444,,13,205,87,122,
245,2020/2/12 9:50,51.464011,-0.233561,,13,205,87,242,
246,2020/2/12 9:50,51.464041,-0.233679,,12.8,205,88,422,
247,2020/2/12 9:50,51.464069,-0.233799,,12.8,211,88,196,
248,2020/2/12 9:50,51.464098,-0.233919,,13.2,211,92,196,
249,2020/2/12 9:50,51.464128,-0.234035,,13.2,211,92,0,
250,2020/2/12 9:50,51.464159,-0.234144,,13.2,211,92,0,
251,2020/2/12 9:50,51.46418,-0.234235,,13.2,201,0,0,
252,2020/2/12 9:50,51.464195,-0.234316,,13.4,184,0,0,
253,2020/2/12 9:50,51.464209,-0.234384,,13.2,171,0,0,
254,2020/2/12 9:51,51.464213,-0.234445,,13,165,0,0,
255,2020/2/12 9:51,51.46422,-0.2345,,12.8,165,0,0,
256,2020/2/12 9:51,51.464231,-0.234549,,12.6,165,0,0,
257,2020/2/12 9:51,51.464244,-0.234596,,12.6,165,0,0,
258,2020/2/12 9:51,51.464255,-0.234647,,12.6,161,0,0,
259,2020/2/12 9:51,51.464267,-0.234705,,12.8,161,11,0,
260,2020/2/12 9:51,51.464284,-0.234765,,13,161,11,0,
261,2020/2/12 9:51,51.464295,-0.23483,,13,161,45,221,
262,2020/2/12 9:51,51.464306,-0.2349,,13,161,53,227,
263,2020/2/12 9:51,51.464319,-0.234975,,13,167,53,177,
264,2020/2/12 9:51,51.464335,-0.235048,,13,167,56,177,
265,2020/2/12 9:51,51.464357,-0.235121,,13.2,167,56,154,
266,2020/2/12 9:51,51.464373,-0.235201,,13.2,161,46,154,
267,2020/2/12 9:51,51.464388,-0.235285,,13.2,151,57,365,
268,2020/2/12 9:51,51.464402,-0.235374,,13.2,145,64,363,
269,2020/2/12 9:51,51.464415,-0.23547,,13.4,140,67,353,
270,2020/2/12 9:51,51.464424,-0.235569,,13.6,136,73,316,
271,2020/2/12 9:51,51.464433,-0.235672,,13.8,136,73,224,
272,2020/2/12 9:51,51.464444,-0.235779,,13.8,136,74,201,
273,2020/2/12 9:51,51.464456,-0.235886,,13.6,136,74,226,
274,2020/2/12 9:51,51.464466,-0.235998,,13.6,136,76,219,
275,2020/2/12 9:51,51.464475,-0.236109,,13.4,136,78,172,
276,2020/2/12 9:51,51.464486,-0.236217,,13.2,136,78,184,
277,2020/2/12 9:51,51.464497,-0.236328,,13.6,136,77,172,
278,2020/2/12 9:51,51.464508,-0.236441,,13.6,136,79,188,
279,2020/2/12 9:51,51.46452,-0.23655,,13.6,136,80,199,
280,2020/2/12 9:51,51.464534,-0.23666,,13.4,138,78,170,
281,2020/2/12 9:51,51.464552,-0.236769,,13.2,137,80,169,
282,2020/2/12 9:51,51.46457,-0.236879,,13.2,136,81,194,
283,2020/2/12 9:51,51.464589,-0.236989,,13,136,80,267,
284,2020/2/12 9:51,51.464602,-0.237104,,13.2,140,84,187,
285,2020/2/12 9:51,51.464612,-0.237221,,13,140,84,167,
286,2020/2/12 9:51,51.464625,-0.237339,,13.2,147,82,178,
287,2020/2/12 9:51,51.464635,-0.237457,,13,147,83,159,
288,2020/2/12 9:51,51.464643,-0.237573,,13.2,157,85,176,
289,2020/2/12 9:51,51.464657,-0.237686,,13.2,157,85,159,
290,2020/2/12 9:51,51.464669,-0.237801,,13.4,157,85,233,
291,2020/2/12 9:51,51.464682,-0.237916,,13.2,158,83,233,
292,2020/2/12 9:51,51.464693,-0.238031,,13.4,167,84,204,
293,2020/2/12 9:51,51.464704,-0.238143,,13,167,86,85,
294,2020/2/12 9:51,51.464718,-0.238257,,13,167,82,170,
295,2020/2/12 9:51,51.46473,-0.23837,,12.6,167,84,155,
296,2020/2/12 9:51,51.464743,-0.238484,,12.8,167,84,210,
297,2020/2/12 9:51,51.464754,-0.2386,,12.8,163,82,242,
298,2020/2/12 9:51,51.464765,-0.238718,,12.6,163,84,213,
299,2020/2/12 9:51,51.464776,-0.238839,,13,163,84,200,
300,2020/2/12 9:51,51.464785,-0.23896,,12.6,163,85,196,
301,2020/2/12 9:51,51.464797,-0.239079,,13.2,163,85,151,
302,2020/2/12 9:51,51.464804,-0.239196,,13,172,85,177,
303,2020/2/12 9:51,51.464817,-0.239312,,13.6,172,84,146,
304,2020/2/12 9:51,51.464829,-0.239428,,13.2,172,85,161,
305,2020/2/12 9:51,51.464841,-0.239541,,13.2,172,86,123,
306,2020/2/12 9:51,51.464853,-0.239656,,13.2,172,85,196,
307,2020/2/12 9:51,51.464863,-0.239772,,13.2,172,83,154,
308,2020/2/12 9:51,51.464874,-0.239887,,13.4,172,84,142,
309,2020/2/12 9:51,51.464886,-0.240004,,13.2,172,85,160,
310,2020/2/12 9:51,51.464897,-0.240123,,13.2,172,83,199,
311,2020/2/12 9:51,51.464908,-0.240241,,13,172,83,151,
312,2020/2/12 9:51,51.464921,-0.240357,,13,172,84,166,
313,2020/2/12 9:51,51.464937,-0.240474,,13.4,170,83,161,
314,2020/2/12 9:52,51.464951,-0.240587,,13.2,170,84,155,
315,2020/2/12 9:52,51.464963,-0.2407,,13.4,170,84,170,
316,2020/2/12 9:52,51.464976,-0.240816,,13.2,170,84,170,
317,2020/2/12 9:52,51.464991,-0.240932,,13.2,178,84,141,
318,2020/2/12 9:52,51.465006,-0.241046,,13.2,178,85,197,
319,2020/2/12 9:52,51.46502,-0.241162,,13.2,184,82,233,
320,2020/2/12 9:52,51.465032,-0.241278,,13.4,184,82,180,
321,2020/2/12 9:52,51.465041,-0.241395,,13.4,184,84,180,
322,2020/2/12 9:52,51.465049,-0.24151,,13.4,184,84,172,
323,2020/2/12 9:52,51.46506,-0.241624,,13.4,184,83,167,
324,2020/2/12 9:52,51.465071,-0.241739,,13.4,184,82,156,
325,2020/2/12 9:52,51.46508,-0.241854,,13.4,184,85,187,
326,2020/2/12 9:52,51.465089,-0.241966,,13.6,184,83,188,
327,2020/2/12 9:52,51.465096,-0.242079,,13.4,184,83,184,
328,2020/2/12 9:52,51.465107,-0.242193,,13.4,184,82,164,
329,2020/2/12 9:52,51.465117,-0.242308,,13.4,184,83,149,
330,2020/2/12 9:52,51.465126,-0.242422,,13.4,189,82,138,
331,2020/2/12 9:52,51.465136,-0.242533,,13.4,189,82,150,
332,2020/2/12 9:52,51.465144,-0.242642,,13.4,189,82,152,
333,2020/2/12 9:52,51.465151,-0.242755,,13.2,189,82,187,
334,2020/2/12 9:52,51.465158,-0.242869,,13.2,189,80,159,
335,2020/2/12 9:52,51.465164,-0.242985,,13.2,189,81,176,
336,2020/2/12 9:52,51.465171,-0.243097,,13.2,193,82,134,
337,2020/2/12 9:52,51.465177,-0.243206,,13.2,193,82,0,
338,2020/2/12 9:52,51.46518,-0.24331,,13.2,193,82,0,
339,2020/2/12 9:52,51.465179,-0.243406,,13.2,194,0,0,
340,2020/2/12 9:52,51.465179,-0.243484,,13.2,194,0,0,
341,2020/2/12 9:52,51.46518,-0.243549,,13,194,0,0,
342,2020/2/12 9:52,51.46518,-0.243601,,12.8,194,0,0,
343,2020/2/12 9:52,51.465179,-0.243636,,12.4,187,0,0,
344,2020/2/12 9:52,51.465179,-0.243665,,12.6,187,0,0,
345,2020/2/12 9:52,51.46518,-0.243676,,12.6,187,0,0,
346,2020/2/12 9:52,51.465179,-0.243673,,12.8,188,0,0,
347,2020/2/12 9:52,51.465179,-0.243673,,12.6,188,0,0,
348,2020/2/12 9:53,51.465178,-0.243723,,12.6,72,0,0,
349,2020/2/12 9:53,51.465179,-0.243764,,12.6,75,0,0,
350,2020/2/12 9:53,51.465179,-0.243811,,12.6,78,0,0,
351,2020/2/12 9:53,51.465184,-0.243867,,12.8,84,0,0,
352,2020/2/12 9:53,51.465189,-0.243929,,13,89,0,0,
353,2020/2/12 9:53,51.465191,-0.244003,,13,91,0,0,
354,2020/2/12 9:53,51.465196,-0.244087,,13,94,48,320,
355,2020/2/12 9:53,51.465201,-0.244181,,13,97,48,345,
356,2020/2/12 9:53,51.465204,-0.244281,,13,100,61,345,
357,2020/2/12 9:53,51.465207,-0.244382,,13,103,67,350,
358,2020/2/12 9:53,51.465212,-0.244486,,13,104,71,323,
359,2020/2/12 9:53,51.465217,-0.244592,,13,112,73,346,
360,2020/2/12 9:53,51.465219,-0.244702,,13.2,119,80,410,
361,2020/2/12 9:53,51.465221,-0.244812,,13.2,119,80,288,
362,2020/2/12 9:53,51.465221,-0.244922,,13.2,132,81,127,
363,2020/2/12 9:53,51.46522,-0.245032,,12.8,132,81,193,
364,2020/2/12 9:53,51.465218,-0.245144,,12.6,132,78,193,
365,2020/2/12 9:53,51.465212,-0.245258,,12.8,132,80,157,
366,2020/2/12 9:53,51.465208,-0.245374,,13.4,132,82,143,
367,2020/2/12 9:53,51.465203,-0.245489,,13.8,132,81,146,
368,2020/2/12 9:53,51.465196,-0.245601,,14.2,132,81,148,
369,2020/2/12 9:53,51.465191,-0.245714,,13.8,132,81,150,
370,2020/2/12 9:53,51.465185,-0.245829,,13.2,132,81,176,
371,2020/2/12 9:53,51.465178,-0.245941,,12.6,132,81,154,
372,2020/2/12 9:53,51.465165,-0.246056,,12.8,132,82,158,
373,2020/2/12 9:53,51.465156,-0.246168,,13,132,81,169,
374,2020/2/12 9:53,51.46515,-0.246282,,13.4,132,82,131,
375,2020/2/12 9:53,51.465143,-0.246396,,13.4,132,82,91,
376,2020/2/12 9:53,51.465134,-0.24651,,13.2,140,82,91,
377,2020/2/12 9:53,51.465125,-0.24662,,13.2,140,80,98,
378,2020/2/12 9:53,51.465118,-0.24673,,13.2,140,80,95,
379,2020/2/12 9:53,51.465111,-0.246841,,13.2,142,80,76,
380,2020/2/12 9:53,51.465102,-0.246955,,13.2,142,80,232,
381,2020/2/12 9:53,51.465095,-0.247068,,13,142,79,232,
382,2020/2/12 9:53,51.465089,-0.247182,,13,142,83,171,
383,2020/2/12 9:53,51.465082,-0.247298,,13.2,142,83,150,
384,2020/2/12 9:53,51.465074,-0.247414,,13.2,150,84,111,
385,2020/2/12 9:54,51.465068,-0.24753,,13.2,150,83,140,
386,2020/2/12 9:54,51.465061,-0.247646,,13,150,83,121,
387,2020/2/12 9:54,51.465054,-0.247759,,13,150,83,115,
388,2020/2/12 9:54,51.465048,-0.24787,,13,150,83,0,
389,2020/2/12 9:54,51.465042,-0.247975,,13,150,83,0,
390,2020/2/12 9:54,51.465035,-0.248083,,13,150,20,0,
